County,Year,Indicator,Value,Regional Economic Blocs,Event
Nyandarua,2014,Yield(MT/HA),1.264054602,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyandarua,2015,Area (HA),17537,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyandarua,2015,Production (MT),26035,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyandarua,2015,Yield(MT/HA),1.484575469,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyandarua,2016,Area (HA),16290,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nyandarua,2016,Production (MT),20484,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nyandarua,2016,Yield(MT/HA),1.257458564,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nyandarua,2017,Area (HA),18744,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyandarua,2017,Production (MT),25080,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyandarua,2017,Yield(MT/HA),1.338028169,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyandarua,2018,Area (HA),21295,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyandarua,2018,Production (MT),35705,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyandarua,2018,Yield(MT/HA),1.676684668,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyandarua,2020,Area (HA),42730,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nyandarua,2020,Production (MT),67562.75,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nyandarua,2020,Yield(MT/HA),1.581154926,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nyeri,2012,Area (HA),33593,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyeri,2012,Production (MT),26066.52,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyeri,2012,Yield(MT/HA),0.775950942,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyeri,2013,Area (HA),61416,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyeri,2013,Production (MT),48166.92,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyeri,2013,Yield(MT/HA),0.784273154,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyeri,2014,Area (HA),61543,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyeri,2014,Production (MT),44280.99,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyeri,2014,Yield(MT/HA),0.719513023,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Nyeri,2015,Area (HA),29054,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyeri,2015,Production (MT),38404,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyeri,2015,Yield(MT/HA),1.321814552,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyeri,2016,Area (HA),23039,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nyeri,2016,Production (MT),12508,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nyeri,2016,Yield(MT/HA),0.542905508,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Nyeri,2017,Area (HA),36157,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyeri,2017,Production (MT),30844,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyeri,2017,Yield(MT/HA),0.853057499,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Nyeri,2018,Area (HA),28631,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyeri,2018,Production (MT),39049.06,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyeri,2018,Yield(MT/HA),1.363873424,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Nyeri,2020,Area (HA),17660,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nyeri,2020,Production (MT),39170,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Nyeri,2020,Yield(MT/HA),2.218006795,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Samburu,2012,Area (HA),1227,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Samburu,2012,Production (MT),1024.2,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Samburu,2012,Yield(MT/HA),0.834718826,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Samburu,2013,Area (HA),1265,North Rift Economic Bloc (NOREB),Post Election Political Tension
Samburu,2013,Production (MT),1648.53,North Rift Economic Bloc (NOREB),Post Election Political Tension
Samburu,2013,Yield(MT/HA),1.303185771,North Rift Economic Bloc (NOREB),Post Election Political Tension
Samburu,2014,Area (HA),1973,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Samburu,2014,Production (MT),2063.79,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Samburu,2014,Yield(MT/HA),1.046016219,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Samburu,2015,Area (HA),3780,North Rift Economic Bloc (NOREB),No Significant Events
Samburu,2015,Production (MT),724,North Rift Economic Bloc (NOREB),No Significant Events
Samburu,2015,Yield(MT/HA),0.191534392,North Rift Economic Bloc (NOREB),No Significant Events
Samburu,2016,Area (HA),7391,North Rift Economic Bloc (NOREB),Drought Year
Samburu,2016,Production (MT),15750,North Rift Economic Bloc (NOREB),Drought Year
Samburu,2016,Yield(MT/HA),2.130970099,North Rift Economic Bloc (NOREB),Drought Year
Samburu,2017,Area (HA),5519,North Rift Economic Bloc (NOREB),Post Election Political Tension
Samburu,2017,Production (MT),10438,North Rift Economic Bloc (NOREB),Post Election Political Tension
Samburu,2017,Yield(MT/HA),1.891284653,North Rift Economic Bloc (NOREB),Post Election Political Tension
Samburu,2018,Area (HA),8010,North Rift Economic Bloc (NOREB),No Significant Events
Samburu,2018,Production (MT),4364,North Rift Economic Bloc (NOREB),No Significant Events
Samburu,2018,Yield(MT/HA),0.544818976,North Rift Economic Bloc (NOREB),No Significant Events
Samburu,2020,Area (HA),26521,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Samburu,2020,Production (MT),26251.33,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Samburu,2020,Yield(MT/HA),0.989831831,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Siaya,2012,Area (HA),76385,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Siaya,2012,Production (MT),97513.2,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Siaya,2012,Yield(MT/HA),1.276601427,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Siaya,2013,Area (HA),72110,Lake Region Economic Bloc (LREB),Post Election Political Tension
Siaya,2013,Production (MT),115807.95,Lake Region Economic Bloc (LREB),Post Election Political Tension
Siaya,2013,Yield(MT/HA),1.605990154,Lake Region Economic Bloc (LREB),Post Election Political Tension
Siaya,2014,Area (HA),78132,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Siaya,2014,Production (MT),123562.26,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Siaya,2014,Yield(MT/HA),1.58145523,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Siaya,2015,Area (HA),79036,Lake Region Economic Bloc (LREB),No Significant Events
Siaya,2015,Production (MT),129139,Lake Region Economic Bloc (LREB),No Significant Events
Siaya,2015,Yield(MT/HA),1.633926312,Lake Region Economic Bloc (LREB),No Significant Events
Siaya,2016,Area (HA),71410,Lake Region Economic Bloc (LREB),Drought Year
Siaya,2016,Production (MT),60496,Lake Region Economic Bloc (LREB),Drought Year
Siaya,2016,Yield(MT/HA),0.847164263,Lake Region Economic Bloc (LREB),Drought Year
Siaya,2017,Area (HA),64999,Lake Region Economic Bloc (LREB),Post Election Political Tension
Siaya,2017,Production (MT),79450,Lake Region Economic Bloc (LREB),Post Election Political Tension
Siaya,2017,Yield(MT/HA),1.222326497,Lake Region Economic Bloc (LREB),Post Election Political Tension
Siaya,2018,Area (HA),66766,Lake Region Economic Bloc (LREB),No Significant Events
Siaya,2018,Production (MT),87638.45,Lake Region Economic Bloc (LREB),No Significant Events
Siaya,2018,Yield(MT/HA),1.312620945,Lake Region Economic Bloc (LREB),No Significant Events
Siaya,2020,Area (HA),10320,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Siaya,2020,Production (MT),9756,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Siaya,2020,Yield(MT/HA),0.945348837,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Taita/Taveta,2012,Area (HA),13986,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Taita/Taveta,2012,Production (MT),5112.72,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Taita/Taveta,2012,Yield(MT/HA),0.365559846,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Taita/Taveta,2013,Area (HA),15592,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Taita/Taveta,2013,Production (MT),16699.05,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Taita/Taveta,2013,Yield(MT/HA),1.071001154,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Taita/Taveta,2014,Area (HA),653,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Taita/Taveta,2014,Production (MT),822.78,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Taita/Taveta,2014,Yield(MT/HA),1.26,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Taita/Taveta,2015,Area (HA),16623,Jumuia ya Kaunti za Pwani,No Significant Events
Taita/Taveta,2015,Production (MT),12292,Jumuia ya Kaunti za Pwani,No Significant Events
Taita/Taveta,2015,Yield(MT/HA),0.739457378,Jumuia ya Kaunti za Pwani,No Significant Events
Taita/Taveta,2016,Area (HA),16508,Jumuia ya Kaunti za Pwani,Drought Year
Taita/Taveta,2016,Production (MT),9519,Jumuia ya Kaunti za Pwani,Drought Year
Taita/Taveta,2016,Yield(MT/HA),0.576629513,Jumuia ya Kaunti za Pwani,Drought Year
Taita/Taveta,2017,Area (HA),17516,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Taita/Taveta,2017,Production (MT),11050,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Taita/Taveta,2017,Yield(MT/HA),0.630851793,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Taita/Taveta,2018,Area (HA),18977,Jumuia ya Kaunti za Pwani,No Significant Events
Taita/Taveta,2018,Production (MT),20364,Jumuia ya Kaunti za Pwani,No Significant Events
Taita/Taveta,2018,Yield(MT/HA),1.073088476,Jumuia ya Kaunti za Pwani,No Significant Events
Taita/Taveta,2020,Area (HA),63493,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Taita/Taveta,2020,Production (MT),72350.88,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Taita/Taveta,2020,Yield(MT/HA),1.139509552,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Tana River,2012,Area (HA),6269,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Tana River,2012,Production (MT),5357.43,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Tana River,2012,Yield(MT/HA),0.854590844,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Tana River,2013,Area (HA),8290,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Tana River,2013,Production (MT),9512.64,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Tana River,2013,Yield(MT/HA),1.147483715,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Tana River,2014,Area (HA),9582,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Tana River,2014,Production (MT),11390.49,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Tana River,2014,Yield(MT/HA),1.188738259,Jumuia ya Kaunti za Pwani,Maize Lethal Necrosis Disease
Tana River,2015,Area (HA),4598,Jumuia ya Kaunti za Pwani,No Significant Events
Tana River,2015,Production (MT),5408,Jumuia ya Kaunti za Pwani,No Significant Events
Tana River,2015,Yield(MT/HA),1.176163549,Jumuia ya Kaunti za Pwani,No Significant Events
Tana River,2016,Area (HA),6122,Jumuia ya Kaunti za Pwani,Drought Year
Tana River,2016,Production (MT),8739,Jumuia ya Kaunti za Pwani,Drought Year
Tana River,2016,Yield(MT/HA),1.427474681,Jumuia ya Kaunti za Pwani,Drought Year
Tana River,2017,Area (HA),5001,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Tana River,2017,Production (MT),5203,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Tana River,2017,Yield(MT/HA),1.040391922,Jumuia ya Kaunti za Pwani,Post Election Political Tension
Tana River,2018,Area (HA),4819,Jumuia ya Kaunti za Pwani,No Significant Events
Tana River,2018,Production (MT),3536,Jumuia ya Kaunti za Pwani,No Significant Events
Tana River,2018,Yield(MT/HA),0.733762191,Jumuia ya Kaunti za Pwani,No Significant Events
Tana River,2020,Area (HA),10006,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Tana River,2020,Production (MT),15025.31,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Tana River,2020,Yield(MT/HA),1.501630022,Jumuia ya Kaunti za Pwani,COVID-19 Pandemic
Tharaka-Nthi,2012,Area (HA),26779,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Tharaka-Nthi,2012,Production (MT),38191.77,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Tharaka-Nthi,2012,Yield(MT/HA),1.426183577,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Tharaka-Nthi,2013,Area (HA),30026,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Tharaka-Nthi,2013,Production (MT),24515.19,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Tharaka-Nthi,2013,Yield(MT/HA),0.816465397,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Tharaka-Nthi,2014,Area (HA),29916,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Tharaka-Nthi,2014,Production (MT),25471.26,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Tharaka-Nthi,2014,Yield(MT/HA),0.851425993,Mt. Kenya and Aberdares Region Economic Bloc,Maize Lethal Necrosis Disease
Tharaka-Nthi,2015,Area (HA),30985,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Tharaka-Nthi,2015,Production (MT),42938,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Tharaka-Nthi,2015,Yield(MT/HA),1.385767307,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Tharaka-Nthi,2016,Area (HA),31010,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Tharaka-Nthi,2016,Production (MT),21964,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Tharaka-Nthi,2016,Yield(MT/HA),0.708287649,Mt. Kenya and Aberdares Region Economic Bloc,Drought Year
Tharaka-Nthi,2017,Area (HA),26267,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Tharaka-Nthi,2017,Production (MT),18223,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Tharaka-Nthi,2017,Yield(MT/HA),0.693760231,Mt. Kenya and Aberdares Region Economic Bloc,Post Election Political Tension
Tharaka-Nthi,2018,Area (HA),24436,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Tharaka-Nthi,2018,Production (MT),19128.5,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Tharaka-Nthi,2018,Yield(MT/HA),0.782799967,Mt. Kenya and Aberdares Region Economic Bloc,No Significant Events
Tharaka-Nthi,2020,Area (HA),5666,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Tharaka-Nthi,2020,Production (MT),7432.5,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Tharaka-Nthi,2020,Yield(MT/HA),1.311771973,Mt. Kenya and Aberdares Region Economic Bloc,COVID-19 Pandemic
Trans Nzoia,2012,Area (HA),104421,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Trans Nzoia,2012,Yield(MT/HA),4.140376648,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Trans Nzoia,2013,Area (HA),105310,North Rift Economic Bloc (NOREB),Post Election Political Tension
Trans Nzoia,2013,Yield(MT/HA),4.038566043,North Rift Economic Bloc (NOREB),Post Election Political Tension
Trans Nzoia,2014,Area (HA),106778,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Trans Nzoia,2014,Yield(MT/HA),4.226977467,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Trans Nzoia,2015,Area (HA),106800,North Rift Economic Bloc (NOREB),No Significant Events
Trans Nzoia,2015,Yield(MT/HA),3.870926966,North Rift Economic Bloc (NOREB),No Significant Events
Trans Nzoia,2016,Area (HA),106303,North Rift Economic Bloc (NOREB),Drought Year
Trans Nzoia,2016,Yield(MT/HA),3.823353998,North Rift Economic Bloc (NOREB),Drought Year
Trans Nzoia,2017,Area (HA),106557,North Rift Economic Bloc (NOREB),Post Election Political Tension
Trans Nzoia,2017,Yield(MT/HA),3.694449356,North Rift Economic Bloc (NOREB),Post Election Political Tension
Trans Nzoia,2018,Area (HA),107681,North Rift Economic Bloc (NOREB),No Significant Events
Trans Nzoia,2018,Yield(MT/HA),5.090926069,North Rift Economic Bloc (NOREB),No Significant Events
Trans Nzoia,2020,Area (HA),105890,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Trans Nzoia,2020,Yield(MT/HA),4.436254604,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Turkana,2012,Area (HA),2252,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Turkana,2012,Production (MT),3529.26,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Turkana,2012,Yield(MT/HA),1.567166963,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Turkana,2013,Area (HA),1626,North Rift Economic Bloc (NOREB),Post Election Political Tension
Turkana,2013,Production (MT),3040.56,North Rift Economic Bloc (NOREB),Post Election Political Tension
Turkana,2013,Yield(MT/HA),1.8699631,North Rift Economic Bloc (NOREB),Post Election Political Tension
Turkana,2014,Area (HA),1310,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Turkana,2014,Production (MT),2153.52,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Turkana,2014,Yield(MT/HA),1.643908397,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Turkana,2015,Area (HA),3842,North Rift Economic Bloc (NOREB),No Significant Events
Turkana,2015,Production (MT),2428,North Rift Economic Bloc (NOREB),No Significant Events
Turkana,2015,Yield(MT/HA),0.63196252,North Rift Economic Bloc (NOREB),No Significant Events
Turkana,2016,Area (HA),5962,North Rift Economic Bloc (NOREB),Drought Year
Turkana,2016,Production (MT),7091,North Rift Economic Bloc (NOREB),Drought Year
Turkana,2016,Yield(MT/HA),1.189365985,North Rift Economic Bloc (NOREB),Drought Year
Turkana,2017,Area (HA),4232,North Rift Economic Bloc (NOREB),Post Election Political Tension
Turkana,2017,Production (MT),2742,North Rift Economic Bloc (NOREB),Post Election Political Tension
Turkana,2017,Yield(MT/HA),0.647920605,North Rift Economic Bloc (NOREB),Post Election Political Tension
Turkana,2018,Area (HA),4245.84,North Rift Economic Bloc (NOREB),No Significant Events
Turkana,2018,Production (MT),3741.008,North Rift Economic Bloc (NOREB),No Significant Events
Turkana,2018,Yield(MT/HA),0.881099618,North Rift Economic Bloc (NOREB),No Significant Events
Turkana,2020,Area (HA),2474.5,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Turkana,2020,Production (MT),2581.73,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Turkana,2020,Yield(MT/HA),1.043334007,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Uasin Gishu,2012,Area (HA),91310,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Uasin Gishu,2012,Production (MT),257648.58,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Uasin Gishu,2012,Yield(MT/HA),2.821690724,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Uasin Gishu,2013,Area (HA),88790,North Rift Economic Bloc (NOREB),Post Election Political Tension
Uasin Gishu,2013,Yield(MT/HA),4.094630026,North Rift Economic Bloc (NOREB),Post Election Political Tension
Uasin Gishu,2014,Area (HA),96654,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Uasin Gishu,2014,Yield(MT/HA),3.933895028,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
Uasin Gishu,2015,Area (HA),104078,North Rift Economic Bloc (NOREB),No Significant Events
Uasin Gishu,2015,Yield(MT/HA),3.892474875,North Rift Economic Bloc (NOREB),No Significant Events
Uasin Gishu,2016,Area (HA),102753,North Rift Economic Bloc (NOREB),Drought Year
Uasin Gishu,2016,Yield(MT/HA),3.945772873,North Rift Economic Bloc (NOREB),Drought Year
Uasin Gishu,2017,Area (HA),101279,North Rift Economic Bloc (NOREB),Post Election Political Tension
Uasin Gishu,2017,Yield(MT/HA),3.12049882,North Rift Economic Bloc (NOREB),Post Election Political Tension
Uasin Gishu,2018,Area (HA),95209,North Rift Economic Bloc (NOREB),No Significant Events
Uasin Gishu,2018,Yield(MT/HA),4.258627647,North Rift Economic Bloc (NOREB),No Significant Events
Uasin Gishu,2020,Area (HA),106999,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Uasin Gishu,2020,Yield(MT/HA),3.545068365,North Rift Economic Bloc (NOREB),COVID-19 Pandemic
Vihiga,2012,Area (HA),18010,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Vihiga,2012,Production (MT),27857.07,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Vihiga,2012,Yield(MT/HA),1.546755691,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Vihiga,2013,Area (HA),24195,Lake Region Economic Bloc (LREB),Post Election Political Tension
Vihiga,2013,Production (MT),36240.75,Lake Region Economic Bloc (LREB),Post Election Political Tension
Vihiga,2013,Yield(MT/HA),1.497861128,Lake Region Economic Bloc (LREB),Post Election Political Tension
Vihiga,2014,Area (HA),23772,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Vihiga,2014,Production (MT),36605.07,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Vihiga,2014,Yield(MT/HA),1.539839727,Lake Region Economic Bloc (LREB),Maize Lethal Necrosis Disease
Vihiga,2015,Area (HA),35105,Lake Region Economic Bloc (LREB),No Significant Events
Vihiga,2015,Production (MT),43927,Lake Region Economic Bloc (LREB),No Significant Events
Vihiga,2015,Yield(MT/HA),1.251303233,Lake Region Economic Bloc (LREB),No Significant Events
Vihiga,2016,Area (HA),35783,Lake Region Economic Bloc (LREB),Drought Year
Vihiga,2016,Production (MT),50289,Lake Region Economic Bloc (LREB),Drought Year
Vihiga,2016,Yield(MT/HA),1.405388033,Lake Region Economic Bloc (LREB),Drought Year
Vihiga,2017,Area (HA),29190,Lake Region Economic Bloc (LREB),Post Election Political Tension
Vihiga,2017,Production (MT),43374,Lake Region Economic Bloc (LREB),Post Election Political Tension
Vihiga,2017,Yield(MT/HA),1.485919836,Lake Region Economic Bloc (LREB),Post Election Political Tension
Vihiga,2018,Area (HA),25090,Lake Region Economic Bloc (LREB),No Significant Events
Vihiga,2018,Production (MT),35129,Lake Region Economic Bloc (LREB),No Significant Events
Vihiga,2018,Yield(MT/HA),1.40011957,Lake Region Economic Bloc (LREB),No Significant Events
Vihiga,2020,Area (HA),25134,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Vihiga,2020,Production (MT),31281.03,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Vihiga,2020,Yield(MT/HA),1.244570303,Lake Region Economic Bloc (LREB),COVID-19 Pandemic
Wajir,2012,Area (HA),268,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Wajir,2012,Production (MT),191.25,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Wajir,2012,Yield(MT/HA),0.713619403,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Wajir,2013,Area (HA),550,Frontier Counties Development Council (FCDC),Post Election Political Tension
Wajir,2013,Production (MT),374.85,Frontier Counties Development Council (FCDC),Post Election Political Tension
Wajir,2013,Yield(MT/HA),0.681545455,Frontier Counties Development Council (FCDC),Post Election Political Tension
Wajir,2014,Area (HA),660,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Wajir,2014,Production (MT),111.69,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Wajir,2014,Yield(MT/HA),0.169227273,Frontier Counties Development Council (FCDC),Maize Lethal Necrosis Disease
Wajir,2015,Area (HA),84,Frontier Counties Development Council (FCDC),No Significant Events
Wajir,2015,Production (MT),38,Frontier Counties Development Council (FCDC),No Significant Events
Wajir,2015,Yield(MT/HA),0.452380952,Frontier Counties Development Council (FCDC),No Significant Events
Wajir,2016,Area (HA),0,Frontier Counties Development Council (FCDC),Drought Year
Wajir,2016,Production (MT),0,Frontier Counties Development Council (FCDC),Drought Year
Wajir,2016,Yield(MT/HA),0,Frontier Counties Development Council (FCDC),Drought Year
Wajir,2017,Area (HA),306,Frontier Counties Development Council (FCDC),Post Election Political Tension
Wajir,2017,Production (MT),398,Frontier Counties Development Council (FCDC),Post Election Political Tension
Wajir,2017,Yield(MT/HA),1.300653595,Frontier Counties Development Council (FCDC),Post Election Political Tension
Wajir,2018,Area (HA),610,Frontier Counties Development Council (FCDC),No Significant Events
Wajir,2018,Production (MT),1034,Frontier Counties Development Council (FCDC),No Significant Events
Wajir,2018,Yield(MT/HA),1.695081967,Frontier Counties Development Council (FCDC),No Significant Events
Wajir,2020,Area (HA),97.5,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Wajir,2020,Production (MT),36.7,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
Wajir,2020,Yield(MT/HA),0.376410256,Frontier Counties Development Council (FCDC),COVID-19 Pandemic
West Pokot,2012,Area (HA),33035,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
West Pokot,2012,Production (MT),110673.81,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
West Pokot,2012,Yield(MT/HA),3.350198577,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
West Pokot,2013,Area (HA),19380,North Rift Economic Bloc (NOREB),Post Election Political Tension
West Pokot,2013,Production (MT),54745.74,North Rift Economic Bloc (NOREB),Post Election Political Tension
West Pokot,2013,Yield(MT/HA),2.824857585,North Rift Economic Bloc (NOREB),Post Election Political Tension
West Pokot,2014,Area (HA),19748,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
West Pokot,2014,Production (MT),46341.27,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
West Pokot,2014,Yield(MT/HA),2.346631051,North Rift Economic Bloc (NOREB),Maize Lethal Necrosis Disease
West Pokot,2015,Area (HA),33124,North Rift Economic Bloc (NOREB),No Significant Events
